base_material,target_phase,density_g_cm3,specific_heat_j_kg_k,required_temp_c
ac,liquid,8.17,302.3,595.0
ac,hexagonal,8.17,302.3,284.6
ac2agpb,liquid,9.49,260.7,766.1
ac2agpb,cubic,9.49,260.7,419.3
ac2cdhg,liquid,9.57,258.5,745.2
ac2cdhg,cubic,9.57,258.5,310.4
ac2cuge,liquid,8.6,287.4,723.8
ac2cuge,cubic,8.6,287.4,330.8
ac2cuir,liquid,11.32,218.9,704.0
ac2cuir,cubic,11.32,218.9,348.6
ac2gepd,liquid,9.15,270.1,849.3
ac2gepd,cubic,9.15,270.1,362.1
ac2hgge,liquid,9.67,255.9,812.5
ac2hgge,cubic,9.67,255.9,351.4
ac2inga,liquid,8.12,304.3,777.7
ac2inga,cubic,8.12,304.3,429.1
ac2irau,liquid,12.81,193.6,862.9
ac2irau,cubic,12.81,193.6,402.9
ac2irpd,liquid,11.93,207.9,849.9
ac2irpd,cubic,11.93,207.9,333.3
ac2irrh,liquid,12.27,202.2,790.6
ac2irrh,cubic,12.27,202.2,407.4
ac2mgga,liquid,7.06,349.4,653.0
ac2mgga,cubic,7.06,349.4,248.6
ac2mgpb,liquid,8.05,306.9,670.4
ac2mgpb,cubic,8.05,306.9,261.2
ac2mgsn,liquid,7.18,343.5,705.2
ac2mgsn,cubic,7.18,343.5,339.9
ac2mgtl,liquid,8.09,305.4,639.7
ac2mgtl,cubic,8.09,305.4,292.4
ac2niir,liquid,11.67,212.5,696.1
ac2niir,cubic,11.67,212.5,339.4
ac2o3,liquid,9.11,271.5,2232.0
ac2o3,trigonal,9.11,271.5,1148.5
ac2s3,liquid,6.54,376.8,1671.9
ac2s3,tetragonal,6.54,376.8,884.3
ac2sipd,liquid,8.61,287.0,821.1
ac2sipd,cubic,8.61,287.0,404.9
ac2tlcd,liquid,9.26,267.2,733.2
ac2tlcd,cubic,9.26,267.2,310.5
ac2tlin,liquid,9.19,269.1,781.0
ac2tlin,cubic,9.19,269.1,411.3
ac2tlsn,liquid,9.28,266.6,806.6
ac2tlsn,cubic,9.28,266.6,336.3
ac2znge,liquid,8.34,296.3,755.7
ac2znge,cubic,8.34,296.3,354.7
ac2znhg,liquid,9.5,260.3,723.0
ac2znhg,cubic,9.5,260.3,341.3
ac2znin,liquid,8.06,306.3,723.6
ac2znin,cubic,8.06,306.3,356.3
ac3in,liquid,8.55,289.1,662.6
ac3in,hexagonal,8.55,289.1,341.5
ac3tl,liquid,9.51,260.2,623.7
ac3tl,hexagonal,9.51,260.2,319.4
acag,liquid,9.04,273.6,672.0
acag,cubic,9.04,273.6,312.5
acag2pb,liquid,10.34,239.6,690.1
acag2pb,cubic,10.34,239.6,312.5
acag3,liquid,9.09,272.0,640.2
acag3,hexagonal,9.09,272.0,288.2
acal3,liquid,5.21,470.8,734.0
acal3,hexagonal,5.21,470.8,343.7
acalo3,liquid,8.73,283.2,2210.5
acalo3,cubic,8.73,283.2,1244.6
acau3,liquid,13.95,177.9,897.1
acau3,hexagonal,13.95,177.9,483.2
acbr3,liquid,5.68,432.6,1672.5
acbr3,hexagonal,5.68,432.6,801.8
acbro,liquid,7.65,322.5,2078.3
acbro,tetragonal,7.65,322.5,1070.3
accdhg2,liquid,11.29,219.4,759.8
accdhg2,cubic,11.29,219.4,342.4
accdrh2,liquid,11.01,225.0,709.3
accdrh2,cubic,11.01,225.0,386.4
accl3,liquid,4.72,518.2,1804.6
accl3,hexagonal,4.72,518.2,857.2
acclo,liquid,7.16,344.5,2163.9
acclo,tetragonal,7.16,344.5,1034.1
accro3,liquid,8.85,279.4,1962.5
accro3,cubic,8.85,279.4,1126.1
accu3,liquid,8.57,288.3,576.8
accu3,hexagonal,8.57,288.3,258.7
accuo3,liquid,9.38,263.7,1640.3
accuo3,cubic,9.38,263.7,777.0
aceuau2,liquid,11.54,214.9,900.9
aceuau2,cubic,11.54,214.9,350.3
aceuzn2,liquid,7.5,328.8,667.8
aceuzn2,cubic,7.5,328.8,332.6
acf3,liquid,8.79,281.1,2560.6
acf3,tetragonal,8.79,281.1,1108.9
acfeo3,liquid,8.89,278.1,1797.2
acfeo3,cubic,8.89,278.1,736.3
acgao3,liquid,9.31,265.5,1928.5
acgao3,cubic,9.31,265.5,949.8
acge3,liquid,7.86,314.1,749.9
acge3,hexagonal,7.86,314.1,360.6
ach2,liquid,7.35,335.8,858.0
ach2,cubic,7.35,335.8,387.3
ach3,liquid,7.78,317.1,852.3
ach3,cubic,7.78,317.1,400.3
achg3,liquid,12.29,201.8,764.8
achg3,hexagonal,12.29,201.8,377.0
achgrh2,liquid,12.77,194.2,694.8
achgrh2,cubic,12.77,194.2,297.7
aci3,liquid,4.33,563.8,1360.5
aci3,hexagonal,4.33,563.8,603.5
acin3,liquid,8.12,304.3,797.8
acin3,hexagonal,8.12,304.3,349.2
acinhg2,liquid,11.07,223.9,779.8
acinhg2,cubic,11.07,223.9,306.8
aclacd2,liquid,7.65,322.7,673.7
aclacd2,cubic,7.65,322.7,296.3
acmg,liquid,5.93,414.7,577.0
acmg,cubic,5.93,414.7,299.1
acmg5,liquid,3.53,688.1,566.1
acmg5,hexagonal,3.53,688.1,272.3
acmgcd2,liquid,7.12,346.1,657.3
acmgcd2,cubic,7.12,346.1,304.9
acmghg2,liquid,9.91,249.9,739.9
acmghg2,cubic,9.91,249.9,338.6
acmgtl2,liquid,9.23,268.0,659.2
acmgtl2,cubic,9.23,268.0,364.7
acmgzn2,liquid,6.56,375.2,656.1
acmgzn2,cubic,6.56,375.2,262.2
acmno3,liquid,8.8,280.8,1888.1
acmno3,cubic,8.8,280.8,756.4
acn,liquid,8.01,308.1,1145.2
acn,hexagonal,8.01,308.1,588.3
acnio3,liquid,9.49,260.6,1655.0
acnio3,cubic,9.49,260.6,799.3
acof,liquid,8.27,298.6,2421.7
acof,cubic,8.27,298.6,1179.5
acpbau2,liquid,13.16,188.5,857.2
acpbau2,cubic,13.16,188.5,430.3
acrh2pb,liquid,12.2,203.2,705.7
acrh2pb,cubic,12.2,203.2,374.3
actio3,liquid,8.4,294.0,2173.4
actio3,cubic,8.4,294.0,1223.8
actlag2,liquid,10.48,236.3,656.5
actlag2,cubic,10.48,236.3,277.3
actlau2,liquid,13.19,188.1,841.8
actlau2,cubic,13.19,188.1,393.5
actlhg2,liquid,12.09,205.0,754.1
actlhg2,cubic,12.09,205.0,309.6
actlrh2,liquid,12.44,199.3,705.5
actlrh2,cubic,12.44,199.3,277.0
actlte2,liquid,8.43,293.1,1113.1
actlte2,cubic,8.43,293.1,567.1
acvo3,liquid,8.66,285.3,1963.5
acvo3,cubic,8.66,285.3,929.1
acybhg2,liquid,11.57,214.1,768.4
acybhg2,cubic,11.57,214.1,377.5
acybrh2,liquid,11.44,216.6,853.8
acybrh2,cubic,11.44,216.6,326.1
acybtl2,liquid,11.01,225.0,720.3
acybtl2,cubic,11.01,225.0,373.7
ag,liquid,10.32,240.0,595.0
ag,hexagonal,10.32,240.0,262.9
ag(auf4)2,liquid,6.94,355.0,1090.8
ag(auf4)2,monoclinic,6.94,355.0,564.5
ag(bcl)6,liquid,2.67,903.8,881.6
ag(bcl)6,cubic,2.67,903.8,490.9
ag(temo)6,liquid,7.02,350.9,669.2
ag(temo)6,monoclinic,7.02,350.9,316.6
ag10te4br3,liquid,7.19,342.7,714.9
ag10te4br3,orthorhombic,7.19,342.7,349.2
ag12sn7h16(se11n2)2,liquid,4.89,501.4,766.1
ag12sn7h16(se11n2)2,monoclinic,4.89,501.4,288.3
ag15p4s16cl3,liquid,4.59,533.4,766.9
ag15p4s16cl3,cubic,4.59,533.4,420.9
ag2b8o13,liquid,3.4,713.9,1679.8
ag2b8o13,monoclinic,3.4,713.9,706.5
ag2bio3,liquid,8.57,288.5,962.8
ag2bio3,orthorhombic,8.57,288.5,473.8
ag2br3,liquid,5.73,429.1,815.2
ag2br3,trigonal,5.73,429.1,400.2
ag2co3,liquid,6.1,403.0,1040.3
ag2co3,monoclinic,6.1,403.0,482.1
ag2cl3,liquid,4.66,525.0,774.7
ag2cl3,trigonal,4.66,525.0,385.5
ag2f,liquid,8.76,282.1,927.2
ag2f,trigonal,8.76,282.1,379.8
ag2f5,liquid,5.36,457.7,1103.5
ag2f5,triclinic,5.36,457.7,517.9
ag2ge(s2o7)3,liquid,3.2,758.1,1270.0
ag2ge(s2o7)3,trigonal,3.2,758.1,681.3
ag2gepbs4,liquid,5.68,432.5,797.7
ag2gepbs4,orthorhombic,5.68,432.5,328.1
ag2ges3,liquid,4.77,513.6,760.1
ag2ges3,orthorhombic,4.77,513.6,354.4
ag2h2iof,liquid,5.04,486.0,1021.0
ag2h2iof,monoclinic,5.04,486.0,398.5
ag2h4(so4)3,liquid,3.19,759.6,1202.2
ag2h4(so4)3,orthorhombic,3.19,759.6,621.1
ag2hg2(teo4)3,liquid,7.51,328.7,1047.3
ag2hg2(teo4)3,monoclinic,7.51,328.7,583.6
ag2hgges4,liquid,5.33,460.1,758.8
ag2hgges4,monoclinic,5.33,460.1,400.2
ag2hgi4,liquid,5.75,427.2,780.6
ag2hgi4,tetragonal,5.75,427.2,368.8
ag2hgo2,liquid,9.16,270.0,754.5
ag2hgo2,tetragonal,9.16,270.0,333.0
ag2hgsi2,liquid,5.87,418.5,748.7
ag2hgsi2,orthorhombic,5.87,418.5,347.7
ag2mo2o7,liquid,5.93,414.9,1228.4
ag2mo2o7,triclinic,5.93,414.9,609.0
ag2o,liquid,7.16,344.2,692.0
ag2o,cubic,7.16,344.2,278.9
ag2p2pdo7,liquid,4.76,514.3,1353.6
ag2p2pdo7,monoclinic,4.76,514.3,588.8
ag2pho4,liquid,5.0,490.4,1258.0
ag2pho4,trigonal,5.0,490.4,626.8
ag2pse3,liquid,5.79,424.2,626.2
ag2pse3,orthorhombic,5.79,424.2,255.8
ag2s2o7,liquid,4.6,532.1,1182.5
ag2s2o7,triclinic,4.6,532.1,484.8
ag2so4,liquid,5.43,452.3,1115.5
ag2so4,orthorhombic,5.43,452.3,621.3
ag2se,liquid,7.94,310.8,610.0
ag2se,orthorhombic,7.94,310.8,254.3
ag2seo3,liquid,6.0,409.5,921.3
ag2seo3,monoclinic,6.0,409.5,439.0
ag2seo3,liquid,6.55,375.9,806.8
ag2seo3,monoclinic,6.55,375.9,364.5
ag2seo4,liquid,5.77,426.1,928.0
ag2seo4,orthorhombic,5.77,426.1,526.8
ag2sn(s2o7)3,liquid,3.24,748.6,1277.5
ag2sn(s2o7)3,trigonal,3.24,748.6,496.9
ag2snhgs4,liquid,5.36,457.7,761.3
ag2snhgs4,orthorhombic,5.36,457.7,335.0
ag2snhgse4,liquid,6.03,407.7,763.7
ag2snhgse4,orthorhombic,6.03,407.7,325.9
ag2te,liquid,8.25,299.5,592.8
ag2te,monoclinic,8.25,299.5,270.0
ag2teo4,liquid,7.1,347.1,984.0
ag2teo4,monoclinic,7.1,347.1,455.8
ag2tes3,liquid,5.15,476.5,585.5
ag2tes3,monoclinic,5.15,476.5,320.2
ag3(po4)2,liquid,4.52,540.8,1272.6
ag3(po4)2,trigonal,4.52,540.8,657.2
ag3asf12,liquid,4.04,604.5,1360.6
ag3asf12,triclinic,4.04,604.5,558.7
ag3asf12,liquid,4.66,525.4,1281.3
ag3asf12,triclinic,4.66,525.4,601.4
ag3aso4,liquid,6.63,371.5,983.8
ag3aso4,trigonal,6.63,371.5,426.4
ag3ass3,liquid,5.39,455.1,622.0
ag3ass3,monoclinic,5.39,455.1,229.1
ag3ass4,liquid,4.84,505.9,613.5
ag3ass4,orthorhombic,4.84,505.9,297.1
ag3asse3,liquid,6.33,388.7,686.1
ag3asse3,orthorhombic,6.33,388.7,256.5
ag3au,liquid,12.44,199.3,577.8
ag3au,cubic,12.44,199.3,245.0
ag3ause2,liquid,8.92,277.2,617.1
ag3ause2,cubic,8.92,277.2,284.6
ag3f8,liquid,5.37,457.2,1089.1
ag3f8,monoclinic,5.37,457.2,478.6
ag3ge5p6,liquid,5.22,469.9,568.9
ag3ge5p6,cubic,5.22,469.9,225.2
ag3o4,liquid,7.05,349.7,730.7
ag3o4,monoclinic,7.05,349.7,374.2
ag3p11,liquid,3.85,632.2,570.8
ag3p11,monoclinic,3.85,632.2,255.8
ag3po4,liquid,6.38,386.0,1184.2
ag3po4,trigonal,6.38,386.0,625.1
ag3ps4,liquid,4.66,524.7,665.3
ag3ps4,orthorhombic,4.66,524.7,340.8
ag3pd,liquid,10.73,230.9,580.0
ag3pd,tetragonal,10.73,230.9,222.0
ag3s4(o3f)4,liquid,3.31,733.2,1287.3
ag3s4(o3f)4,monoclinic,3.31,733.2,544.3
ag3sb4f24,liquid,4.12,592.5,1626.8
ag3sb4f24,cubic,4.12,592.5,632.6
ag3sbs3,liquid,5.8,423.5,643.1
ag3sbs3,monoclinic,5.8,423.5,242.1
ag3sn2(gep2)3,liquid,5.34,459.5,567.3
ag3sn2(gep2)3,cubic,5.34,459.5,296.7
ag3snp7,liquid,4.97,492.9,584.4
ag3snp7,monoclinic,4.97,492.9,262.0
ag3te2au,liquid,9.0,274.6,597.6
ag3te2au,cubic,9.0,274.6,304.6
ag4hg4s4brcl3,liquid,6.11,402.7,818.7
ag4hg4s4brcl3,triclinic,6.11,402.7,334.8
ag4mo2se3o16,liquid,4.92,497.7,1102.3
ag4mo2se3o16,orthorhombic,4.92,497.7,594.1
ag4pio4,liquid,6.27,392.7,1102.5
ag4pio4,monoclinic,6.27,392.7,441.4
ag4teo5,liquid,7.76,318.1,897.1
ag4teo5,monoclinic,7.76,318.1,503.9
ag4teso4,liquid,6.02,408.3,985.2
ag4teso4,cubic,6.02,408.3,396.5
ag5(pbo3)2,liquid,8.77,281.7,911.0
ag5(pbo3)2,trigonal,8.77,281.7,361.5
ag5bio4,liquid,8.2,301.2,846.3
ag5bio4,monoclinic,8.2,301.2,381.9
ag5hg4p8cl5,liquid,5.81,423.1,725.2
ag5hg4p8cl5,monoclinic,5.81,423.1,370.7
ag5hgsbo6,liquid,8.01,308.3,914.0
ag5hgsbo6,trigonal,8.01,308.3,458.6
ag5p(s2cl)2,liquid,4.79,511.0,794.6
ag5p(s2cl)2,orthorhombic,4.79,511.0,444.1
ag5pseo4,liquid,6.59,373.5,1061.3
ag5pseo4,tetragonal,6.59,373.5,570.1
ag5te2cl,liquid,7.37,334.7,656.9
ag5te2cl,orthorhombic,7.37,334.7,276.0
ag6geso8,liquid,6.21,395.9,1037.7
ag6geso8,tetragonal,6.21,395.9,411.9
ag6hgno11,liquid,6.65,370.4,792.0
ag6hgno11,orthorhombic,6.65,370.4,424.9
ag6mo2clo7f3,liquid,5.76,426.6,1161.5
ag6mo2clo7f3,trigonal,5.76,426.6,652.4
ag7asse6,liquid,6.42,383.7,673.0
ag7asse6,cubic,6.42,383.7,336.8
ag7no11,liquid,6.51,378.4,780.3
ag7no11,orthorhombic,6.51,378.4,416.3
ag7pse6,liquid,6.59,373.8,624.6
ag7pse6,cubic,6.59,373.8,237.0
ag8ges6,liquid,6.2,396.5,697.3
ag8ges6,orthorhombic,6.2,396.5,276.9
ag8gese6,liquid,6.96,353.9,699.6
ag8gese6,orthorhombic,6.96,353.9,323.3
ag8sns6,liquid,6.23,394.8,642.2
ag8sns6,orthorhombic,6.23,394.8,271.5
ag8snse6,liquid,6.92,356.1,644.7
ag8snse6,orthorhombic,6.92,356.1,345.3
ag9p14(of)28,liquid,3.13,773.5,1616.6
ag9p14(of)28,monoclinic,3.13,773.5,835.3
agas(s8f3)2,liquid,2.25,1064.7,1038.9
agas(s8f3)2,monoclinic,2.25,1064.7,571.5
agas(sef2)3,liquid,4.29,569.2,1288.0
agas(sef2)3,monoclinic,4.29,569.2,609.6
agas3h2o9,liquid,4.25,574.1,1187.3
agas3h2o9,triclinic,4.25,574.1,460.4
agasf6,liquid,3.43,707.6,1540.8
agasf6,cubic,3.43,707.6,651.8
agasf7,liquid,3.99,611.1,1498.0
agasf7,orthorhombic,3.99,611.1,819.9
agaso3,liquid,6.43,383.1,1121.4
agaso3,trigonal,6.43,383.1,554.6
agaspbs3,liquid,5.49,447.0,774.9
agaspbs3,monoclinic,5.49,447.0,351.4
agau(io3)4,liquid,5.63,436.5,870.9
agau(io3)4,monoclinic,5.63,436.5,403.2
agau3,liquid,16.57,150.0,579.2
agau3,cubic,16.57,150.0,251.5
agaucl4,liquid,4.8,510.3,754.5
agaucl4,monoclinic,4.8,510.3,302.8
agauf4,liquid,7.22,341.4,1114.5
agauf4,tetragonal,7.22,341.4,454.3
agauf7,liquid,5.24,468.3,1040.1
agauf7,orthorhombic,5.24,468.3,528.4
agauo2,liquid,9.67,256.0,761.3
agauo2,monoclinic,9.67,256.0,309.1
agb11h6cbr6,liquid,2.67,903.4,770.5
agb11h6cbr6,orthorhombic,2.67,903.4,402.3
agbf4,liquid,4.61,530.5,1661.4
agbf4,orthorhombic,4.61,530.5,885.0
agbf5,liquid,4.05,601.8,1574.4
agbf5,tetragonal,4.05,601.8,784.3
agbh2of4,liquid,3.63,669.8,1523.4
agbh2of4,orthorhombic,3.63,669.8,743.4
agbi(io3)4,liquid,5.73,428.7,966.4
agbi(io3)4,monoclinic,5.73,428.7,438.1
agbi(ps3)2,liquid,4.15,588.5,702.5
agbi(ps3)2,triclinic,4.15,588.5,370.6
agbi(pse3)2,liquid,5.0,490.6,759.6
agbi(pse3)2,trigonal,5.0,490.6,342.5
agbi2f12,liquid,5.66,434.0,1353.2
agbi2f12,triclinic,5.66,434.0,565.8
agbi3s5,liquid,6.62,371.9,717.5
agbi3s5,monoclinic,6.62,371.9,355.9
agbiscl2,liquid,5.55,442.2,975.5
agbiscl2,orthorhombic,5.55,442.2,460.3
agbr,liquid,6.44,382.0,846.8
agbr,cubic,6.44,382.0,424.1
agcl,liquid,5.58,439.9,805.8
agcl,cubic,5.58,439.9,351.5
agclo4,liquid,4.23,577.4,736.3
agclo4,tetragonal,4.23,577.4,334.1
agf,liquid,7.07,348.8,1055.2
agf,cubic,7.07,348.8,571.2
agf2,liquid,5.84,421.2,1140.2
agf2,orthorhombic,5.84,421.2,577.5
agf3,liquid,4.91,498.8,1058.0
agf3,hexagonal,4.91,498.8,545.3
agh12c4se5n,liquid,2.79,864.6,653.2
agh12c4se5n,monoclinic,2.79,864.6,248.5
agh5s2o9,liquid,2.74,880.1,1201.9
agh5s2o9,monoclinic,2.74,880.1,615.2
agho2,liquid,4.22,579.1,877.7
agho2,monoclinic,4.22,579.1,486.2
aghg2aso4,liquid,8.03,307.5,1024.5
aghg2aso4,orthorhombic,8.03,307.5,483.2
aghg2no5,liquid,6.97,353.8,856.4
aghg2no5,orthorhombic,6.97,353.8,326.0
aghg2po4,liquid,7.61,324.1,1228.7
aghg2po4,orthorhombic,7.61,324.1,586.1
aghgass3,liquid,5.84,420.9,714.0
aghgass3,monoclinic,5.84,420.9,373.6
aghgpd2,liquid,12.83,193.4,612.7
aghgpd2,cubic,12.83,193.4,296.8
aghgsbr,liquid,6.11,402.5,794.9
aghgsbr,orthorhombic,6.11,402.5,399.9
aghgsi,liquid,6.52,377.5,741.9
aghgsi,orthorhombic,6.52,377.5,332.4
agi,liquid,5.81,423.0,760.5
agi,hexagonal,5.81,423.0,345.7
agi3o8,liquid,4.98,492.2,888.9
agi3o8,tetragonal,4.98,492.2,346.4
agio3,liquid,6.0,409.8,870.9
agio3,orthorhombic,6.0,409.8,338.9
agirf7,liquid,5.05,485.5,1220.8
agirf7,orthorhombic,5.05,485.5,669.3
agmo6cl13,liquid,3.84,633.8,1013.5
agmo6cl13,triclinic,3.84,633.8,431.3
agmopo6,liquid,4.55,538.0,1441.5
agmopo6,monoclinic,4.55,538.0,802.8
agno3,liquid,4.51,542.4,856.3
agno3,trigonal,4.51,542.4,419.5
ago,liquid,6.73,366.0,749.2
ago,tetragonal,6.73,366.0,298.0
agp(of)2,liquid,3.36,722.2,1567.8
agp(of)2,monoclinic,3.36,722.2,721.0
agpf6,liquid,3.16,767.5,1614.1
agpf6,cubic,3.16,767.5,792.2
agpo3,liquid,4.74,516.4,1431.1
agpo3,monoclinic,4.74,516.4,796.0
agpbf6,liquid,5.87,418.9,1336.6
agpbf6,triclinic,5.87,418.9,735.0
agpd,liquid,11.12,222.9,582.7
agpd,trigonal,11.12,222.9,275.6
agpdf6,liquid,5.18,473.2,1173.2
agpdf6,triclinic,5.18,473.2,605.1
agpdo2,liquid,7.74,318.8,846.4
agpdo2,monoclinic,7.74,318.8,385.1
agpt,liquid,15.64,158.8,587.1
agpt,hexagonal,15.64,158.8,230.9
agptf6,liquid,6.42,383.3,1193.5
agptf6,triclinic,6.42,383.3,614.8
agrh(so4)2,liquid,4.25,575.1,1208.2
agrh(so4)2,monoclinic,4.25,575.1,647.4
agrhf6,liquid,4.52,540.9,1317.9
