material_name,melting_point_c,density_g_cm3,specific_heat_j_kg_k,target_conversion_pct,required_temp_c
Ac,545.0,8.17,302.3,50.0,272.5
Ac,545.0,8.17,302.3,60.0,327.0
Ac,545.0,8.17,302.3,70.0,381.5
Ac,545.0,8.17,302.3,80.0,436.0
Ac,545.0,8.17,302.3,90.0,490.5
Ac,545.0,8.17,302.3,100.0,595.0
Ac2AgPb,716.1,9.49,260.7,50.0,358.1
Ac2AgPb,716.1,9.49,260.7,60.0,429.7
Ac2AgPb,716.1,9.49,260.7,70.0,501.3
Ac2AgPb,716.1,9.49,260.7,80.0,572.9
Ac2AgPb,716.1,9.49,260.7,90.0,644.5
Ac2AgPb,716.1,9.49,260.7,100.0,766.1
Ac2CdHg,695.2,9.57,258.5,50.0,347.6
Ac2CdHg,695.2,9.57,258.5,60.0,417.1
Ac2CdHg,695.2,9.57,258.5,70.0,486.6
Ac2CdHg,695.2,9.57,258.5,80.0,556.1
Ac2CdHg,695.2,9.57,258.5,90.0,625.6
Ac2CdHg,695.2,9.57,258.5,100.0,745.2
Ac2CuGe,673.8,8.6,287.4,50.0,336.9
Ac2CuGe,673.8,8.6,287.4,60.0,404.3
Ac2CuGe,673.8,8.6,287.4,70.0,471.7
Ac2CuGe,673.8,8.6,287.4,80.0,539.1
Ac2CuGe,673.8,8.6,287.4,90.0,606.4
Ac2CuGe,673.8,8.6,287.4,100.0,723.8
Ac2CuIr,654.0,11.32,218.9,50.0,327.0
Ac2CuIr,654.0,11.32,218.9,60.0,392.4
Ac2CuIr,654.0,11.32,218.9,70.0,457.8
Ac2CuIr,654.0,11.32,218.9,80.0,523.2
Ac2CuIr,654.0,11.32,218.9,90.0,588.6
Ac2CuIr,654.0,11.32,218.9,100.0,704.0
Ac2GePd,799.3,9.15,270.1,50.0,399.7
Ac2GePd,799.3,9.15,270.1,60.0,479.6
Ac2GePd,799.3,9.15,270.1,70.0,559.5
Ac2GePd,799.3,9.15,270.1,80.0,639.5
Ac2GePd,799.3,9.15,270.1,90.0,719.4
Ac2GePd,799.3,9.15,270.1,100.0,849.3
Ac2HgGe,762.5,9.67,255.9,50.0,381.2
Ac2HgGe,762.5,9.67,255.9,60.0,457.5
Ac2HgGe,762.5,9.67,255.9,70.0,533.7
Ac2HgGe,762.5,9.67,255.9,80.0,610.0
Ac2HgGe,762.5,9.67,255.9,90.0,686.2
Ac2HgGe,762.5,9.67,255.9,100.0,812.5
Ac2InGa,727.7,8.12,304.3,50.0,363.9
Ac2InGa,727.7,8.12,304.3,60.0,436.6
Ac2InGa,727.7,8.12,304.3,70.0,509.4
Ac2InGa,727.7,8.12,304.3,80.0,582.2
Ac2InGa,727.7,8.12,304.3,90.0,655.0
Ac2InGa,727.7,8.12,304.3,100.0,777.7
Ac2IrAu,812.9,12.81,193.6,50.0,406.5
Ac2IrAu,812.9,12.81,193.6,60.0,487.8
Ac2IrAu,812.9,12.81,193.6,70.0,569.0
Ac2IrAu,812.9,12.81,193.6,80.0,650.3
Ac2IrAu,812.9,12.81,193.6,90.0,731.6
Ac2IrAu,812.9,12.81,193.6,100.0,862.9
Ac2IrPd,799.9,11.93,207.9,50.0,399.9
Ac2IrPd,799.9,11.93,207.9,60.0,479.9
Ac2IrPd,799.9,11.93,207.9,70.0,559.9
Ac2IrPd,799.9,11.93,207.9,80.0,639.9
Ac2IrPd,799.9,11.93,207.9,90.0,719.9
Ac2IrPd,799.9,11.93,207.9,100.0,849.9
Ac2IrRh,740.6,12.27,202.2,50.0,370.3
Ac2IrRh,740.6,12.27,202.2,60.0,444.4
Ac2IrRh,740.6,12.27,202.2,70.0,518.4
Ac2IrRh,740.6,12.27,202.2,80.0,592.5
Ac2IrRh,740.6,12.27,202.2,90.0,666.6
Ac2IrRh,740.6,12.27,202.2,100.0,790.6
Ac2MgGa,603.0,7.06,349.4,50.0,301.5
Ac2MgGa,603.0,7.06,349.4,60.0,361.8
Ac2MgGa,603.0,7.06,349.4,70.0,422.1
Ac2MgGa,603.0,7.06,349.4,80.0,482.4
Ac2MgGa,603.0,7.06,349.4,90.0,542.7
Ac2MgGa,603.0,7.06,349.4,100.0,653.0
Ac2MgPb,620.4,8.05,306.9,50.0,310.2
Ac2MgPb,620.4,8.05,306.9,60.0,372.2
Ac2MgPb,620.4,8.05,306.9,70.0,434.3
Ac2MgPb,620.4,8.05,306.9,80.0,496.3
Ac2MgPb,620.4,8.05,306.9,90.0,558.3
Ac2MgPb,620.4,8.05,306.9,100.0,670.4
Ac2MgSn,655.2,7.18,343.5,50.0,327.6
Ac2MgSn,655.2,7.18,343.5,60.0,393.1
Ac2MgSn,655.2,7.18,343.5,70.0,458.6
Ac2MgSn,655.2,7.18,343.5,80.0,524.2
Ac2MgSn,655.2,7.18,343.5,90.0,589.7
Ac2MgSn,655.2,7.18,343.5,100.0,705.2
Ac2MgTl,589.7,8.09,305.4,50.0,294.8
Ac2MgTl,589.7,8.09,305.4,60.0,353.8
Ac2MgTl,589.7,8.09,305.4,70.0,412.8
Ac2MgTl,589.7,8.09,305.4,80.0,471.7
Ac2MgTl,589.7,8.09,305.4,90.0,530.7
Ac2MgTl,589.7,8.09,305.4,100.0,639.7
Ac2NiIr,646.1,11.67,212.5,50.0,323.1
Ac2NiIr,646.1,11.67,212.5,60.0,387.7
